,country,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,rate_fully,rate,rollout_score
0,Afghanistan,0.0008182349503214495,0.0,0.0,0.001960426784330941,0.05804462502621483
1,Albania,0.013033313851548801,0.0,0.0007848859853177769,0.0007690432388161682,0.4794749231662172
2,Algeria,0.0009935710111046172,0.0,0.0,0.0,0.0347749853886616
3,Andorra,0.07025131502045587,0.0,0.012048103970912388,0.03674064074891968,3.1906271965134363
4,Angola,0.0015195791934541204,0.0,0.0,0.004069142430050503,0.11422240822165172
5,Anguilla,0.20835768556399764,0.0,0.0,0.23395651040795173,10.801866650859193
6,Antigua and Barbuda,0.1532437171244886,0.0,0.0,0.0,5.3635300993571
7,Argentina,0.046171829339567504,0.018420388594499116,0.017512368524764,0.026365332945837264,2.9188931497513506
8,Australia,0.01163062536528346,0.0,0.0,0.006677198816514547,0.5072298700326393
9,Austria,0.09666861484511981,0.05513499873832955,0.055088494173729755,0.03671167358835544,6.6901289918520055
10,Azerbaijan,0.02939801285797779,0.0,0.0,0.025104464404975588,1.4054974161038565
11,Bahamas,0.00017533606078316773,0.0,0.0,0.0,0.0061367621274108705
12,Bahrain,0.24868497954412622,0.18231138026747412,0.12611391948773235,0.07415331315025125,18.088881082975767
13,Bangladesh,0.018234950321449443,0.0,0.0,0.01867445790476805,0.9183401298222513
14,Barbados,0.12764465225014612,0.0,0.0,0.16389684835490348,6.926015554078665
15,Belarus,0.0018702513150204558,0.0013878374968458239,0.0,0.0009177196972788821,0.127798903874503
16,Belgium,0.08568088836937464,0.054125662376987134,0.061198831950597145,0.031318980200302965,6.280996458386164
17,Belize,0.026709526592635886,0.0,0.0,0.06308156592902482,1.8810569196776281
18,Bermuda,0.32104032729398013,0.2664647993943982,0.39302129376402256,0.14381787469444085,28.61526696097019
19,Bolivia,0.01315020455873758,0.009588695432752965,0.018149501809021366,0.015132662111107198,1.2950939585040975
20,Brazil,0.048158971361776735,0.02397173858188241,0.036167989146447185,0.02446593704520642,3.4340837409028735
21,Bulgaria,0.03652834599649328,0.015897047691143074,0.014813694808127801,0.018458466979585055,2.3339712058829654
22,Cambodia,0.010344827586206896,0.0,0.0,0.01039054910940199,0.5179272021582711
23,Canada,0.07691408533021625,0.022205399949533182,0.023180401101398948,0.03094047500059635,4.28099512632116
24,Cayman Islands,0.3918176504967855,0.2967448902346707,0.28260003289811797,0.16996534419313378,30.888169581969738
25,Chile,0.29485680888369376,0.2149886449659349,0.18754192931828384,0.1167478319954687,22.408937304443285
26,China,0.04161309175920514,0.0,0.0,0.0,1.4564582115721798
27,Colombia,0.018351841028638224,0.0036588443098662625,0.010250450362554038,0.029281720775795807,1.3633565539229047
28,Costa Rica,0.03991817650496785,0.033308099924299776,0.026121390535668657,0.01699402836405047,3.2096509585201534
29,Cote d'Ivoire,0.0007013442431326709,0.0,0.0,0.001563766814016688,0.048003550719893796
30,Croatia,0.059322033898305086,0.024854907898057027,0.021576636776951656,0.02370539613912032,3.625423456613753
31,Cyprus,0.0863822326125073,0.0518546555639667,0.06141347745801808,0.03883559351759279,6.342027150810753
32,Czechia,0.08521332554061951,0.0518546555639667,0.05062193357481453,0.03147324078990178,6.028806954131262
33,Denmark,0.10414962010520164,0.07872823618470856,0.06970260007818926,0.03809538108007017,8.017694687520748
34,Dominica,0.11011104617182933,0.0,0.0,0.19576942772132952,6.79042803183397
35,Dominican Republic,0.043074225599064875,0.0,0.0,0.06762915459294715,2.5220352148614773
36,Ecuador,0.006312098188194039,0.0027756749936916477,0.005818902941866354,0.00411535274988335,0.4670858967422446
37,Egypt,0.0,0.0,0.0,0.0,0.0
38,El Salvador,0.004441846873173582,0.0,0.0,0.006161019560959164,0.24787993397546285
39,England,0.2882524839275278,0.05551349987383296,0.026170495341211304,0.1547369529959087,14.745421158104424
40,Equatorial Guinea,0.0027469316189362943,0.000757002271006813,0.0,0.0,0.12263768614800875
41,Estonia,0.11116306253652834,0.057532172596517786,0.06298607240581301,0.0637015692776873,7.804647854909118
42,Faeroe Islands,0.11911163062536527,0.10598031794095383,0.14164249155500397,0.018708476023623872,10.283482713500588
43,Falkland Islands,0.2906487434248977,0.0,0.0,1.0,25.172706019871416
44,Finland,0.09713617767387493,0.020186727226848347,0.01996447025313285,0.06447150729875972,5.372841334803703
45,France,0.08737580362361191,0.048826646479939444,0.06470306018308673,0.03235086178697581,6.222894583175235
46,Germany,0.08626534190531852,0.05677517032551098,0.05626983530061089,0.031742751247537955,6.326606726301264
47,Ghana,0.007890122735242549,0.0,0.0,0.02374486580051521,0.6323272827412173
48,Gibraltar,0.9999999999999999,1.0,1.0,0.3488849825981527,90.23327473897228
49,Greece,0.08994739918176504,0.06636386575826393,0.07023559823014085,0.035825548399324746,7.061811472342998
50,Greenland,0.05283459964932787,0.026747413575574062,0.0,0.021339134159556825,3.10545747526492
51,Grenada,0.04471069549970778,0.0,0.0,0.0743563263552654,2.6802192378187533
52,Guatemala,0.0029807130333138515,0.0,0.0,0.00561618657092742,0.1885677547298961
53,Guernsey,0.25610753945061365,0.14837244511733536,0.201413330687216,0.14161744729740808,19.302261129647576
54,Guinea,0.0011104617182933956,0.0,0.0,0.0,0.03886616014026884
55,Guyana,0.01151373465809468,0.0,0.0,0.01696120782041307,0.6573988303395099
56,Honduras,0.0025131502045587376,0.0,0.0,0.00505073948047922,0.1637213493667441
57,Hong Kong,0.03500876680303916,0.0020186727226848347,0.07831267581093057,0.06088421117647441,3.3839136882114143
58,Hungary,0.15669199298655756,0.08957860206913953,0.076327915387565,0.08021435234665615,10.967604842962714
59,Iceland,0.10338983050847458,0.07670956346202372,0.06500468149332024,0.04429078567699589,7.942910796522182
60,India,0.0255406195207481,0.008074690890739339,0.01427940193318563,0.012667097443066662,1.580733355045845
61,Indonesia,0.0222676797194623,0.014887711329800655,0.015510531419239198,0.010489910515564535,1.6904453157462596
62,Iran,0.0008766803039158387,0.0,0.0,0.00034597000934949944,0.035873360777296845
63,Ireland,0.08673290473407363,0.05172848851879888,0.045134773082155535,0.05042615916560562,6.279562747566955
64,Isle of Man,0.22910578609000584,0.1683068382538481,0.227173640724684,0.1116075157722128,18.99115919948834
65,Israel,0.6703682057276447,0.6863487257128438,0.6394106934354515,0.19319356537899496,59.97415648263379
66,Italy,0.08901227352425482,0.06093868281604845,0.053664800343412734,0.03115557638640607,6.5205891228578965
67,Jamaica,0.0031560490940970194,0.0,0.0,0.023198776328281587,0.4584433632176194
68,Japan,0.003798947983635301,0.0003785011355034065,0.0018708217848906713,0.005112823451099137,0.2509653977097019
69,Jersey,0.3022209234365868,0.11392884178652535,0.06678516152029111,0.18919999113249394,18.4050190726007
70,Jordan,0.018351841028638224,0.008579359071410548,0.010629172136431489,0.00933565628669079,1.2420644298485413
71,Kazakhstan,0.0034482758620689655,0.0012616704516780217,0.003759742047128985,0.002969024853437427,0.2657796244896407
72,Kenya,0.0007013442431326709,0.0,0.0,0.0017420535105480805,0.05067785116786469
73,Kuwait,0.0,0.0,0.0,0.07129935408513195,1.0694903112769791
74,Laos,0.003272939801285798,0.0,0.0,0.0,0.11455289304500291
75,Latvia,0.03915838690824079,0.01463537723946505,0.011995294617135537,0.017433975666492386,2.3242207994241233
76,Lebanon,0.01548801870251315,0.012869038607115822,0.04543447273815534,0.009685721049384179,1.8192999126501068
77,Liechtenstein,0.07650496785505552,0.0,0.0,0.0,2.677673874926943
78,Lithuania,0.10198714202220922,0.0698965430229624,0.06244221202875643,0.0385357136741858,7.5305978621251395
79,Luxembourg,0.0771478667445938,0.039994953318193284,0.04629851941457616,0.035014618087602964,5.319695764730235
80,Macao,0.04044418468731736,0.0,0.0,0.046693468666461985,2.115948494053037
81,Malawi,0.0027469316189362943,0.0,0.0,0.013095605539081047,0.292576689748986
82,Malaysia,0.009701928696668614,0.0,0.0,0.016316861976818798,0.5843204340356835
83,Maldives,0.2461718293395675,0.0,0.0,0.0,8.616014026884862
84,Malta,0.22752776154295734,0.14307342922028765,0.16271333559700074,0.09697972930620383,16.86643765026164
85,Mauritius,0.0017533606078316774,0.0,0.0,0.004104202836261179,0.12293066381802638
86,Mexico,0.030508474576271184,0.008074690890739339,0.008918395864424073,0.01252639705989639,1.6720826852101751
87,Moldova,0.004909409701928697,0.0,0.0,0.00970027225317818,0.31733342336517706
88,Monaco,0.26925774400935126,0.267852636891244,0.17286798067894313,0.06556606537970154,22.3753740224005
89,Mongolia,0.049210987726475745,0.0,0.0,0.0,1.7223845704266512
90,Montenegro,0.015312682641729983,0.0031541761291950542,0.0207352711367003,0.017355740530099813,1.217705231984378
91,Montserrat,0.10894213909994155,0.010093363613424174,0.0,0.17669163238276075,6.816617080709212
92,Morocco,0.12086499123319695,0.11392884178652535,0.23473278947396234,0.040388378002117024,12.344601667831471
93,Mozambique,0.0008766803039158387,0.0,0.0,0.007428179612503956,0.14210650482461368
94,Myanmar,0.004091174751607247,0.0,0.0,0.02158253504995654,0.4669291420556017
95,Namibia,5.844535359438924e-05,0.0,0.0,0.0004244674064287975,0.008412598472235584
96,Nepal,0.0320864991233197,0.0,0.0,0.0,1.1230274693161895
97,Netherlands,0.07153711279953244,0.04453696694423416,0.06169416958725804,0.04134055285642894,5.608113627687135
98,New Zealand,0.005026300409117475,0.0,0.0,0.007367833547259735,0.2864380175280076
99,Nigeria,0.0007597895967270602,0.0,0.0,0.0018607466537634491,0.05450383569189884
100,North Macedonia,0.0014611338398597311,0.0,0.0,0.002652921290179984,0.09093350374779036
101,Northern Cyprus,0.14979544126241962,0.1454706030784759,0.0,0.0,10.334311551931343
102,Northern Ireland,0.2591466978375219,0.08024224072672219,0.04090126304119272,0.13471110964268154,14.512798440006659
103,Norway,0.09333722969023962,0.06283118849356549,0.07839687656045691,0.03692080947216223,7.195659926922467
104,Oman,0.014786674459380478,0.00466818067120868,0.00443177789543145,0.005611027180381609,0.8315620057078162
105,Pakistan,0.0009351256575102279,0.0,0.0,0.0004549315743543093,0.03955337162817261
106,Panama,0.0478082992402104,0.0,0.0,0.0,1.673290473407364
107,Paraguay,0.0023378141437755697,0.0,0.0,0.0028196605519643352,0.12411840331160998
108,Peru,0.014026884862653419,0.00984102952308857,0.0291697983917979,0.009797592538300622,1.4198878674524475
109,Philippines,0.0026884862653419055,0.0,0.0,0.005315478431448579,0.17382919575869538
110,Poland,0.08889538281706605,0.06560686348725712,0.07116642237898083,0.03282190308892273,6.967403502669864
111,Portugal,0.08807714786674459,0.057910673732021196,0.0577184795168434,0.032736329310959406,6.466395888373844
112,Qatar,0.14628872004675628,0.0,0.0,0.0,5.120105201636469
113,Romania,0.08503798947983636,0.05992934645470603,0.06341791198022417,0.031296100496964484,6.494566944866813
114,Russia,0.04243132670952659,0.03721927832450164,0.035282207296376066,0.013323998216208785,3.5168642588797616
115,Rwanda,0.015721800116890707,0.0,0.0,0.023857345350603656,0.9081231843502294
116,Saint Helena,0.29912331969608413,0.0,0.0,0.36710063644994534,15.975825736112123
117,Saint Kitts and Nevis,0.08328462887200468,0.0,0.0,0.17158430488103063,5.488726583735623
118,Saint Lucia,0.06446522501461133,0.0,0.0,0.11340749262555076,3.9573952648946578
119,Saint Vincent and the Grenadines,0.04944476914085331,0.0,0.0,0.0,1.7305669199298657
120,San Marino,0.17749853886616015,0.062326520312894276,0.48481977802757276,0.32293570988607373,20.5102093899716
121,Saudi Arabia,0.06709526592635885,0.0,0.0,0.0,2.3483343074225598
122,Scotland,0.28386908240794856,0.06800403734544537,0.05247654883276464,0.1531612072509741,15.400125532624868
123,Senegal,0.007890122735242549,0.0,0.0,0.01209756406041584,0.4576177566397268
124,Serbia,0.1960841613091759,0.16994700984102953,0.23538226052734335,0.08350629223149288,17.594419281639734
125,Seychelles,0.5736411455289304,0.4283371183446884,0.5067090984689533,0.26727774836524193,46.67904193808958
126,Sierra Leone,0.0007597895967270602,0.0,0.0,0.0035115030895473244,0.07926518222865697
127,Singapore,0.110812390414962,0.06686853393893515,0.0909945674241618,0.04851733124097703,8.311510832363481
128,Slovakia,0.09322033898305083,0.059046177138531414,0.07076948440366072,0.03721179970181588,6.949047325837526
129,Slovenia,0.0831677381648159,0.0634620237194045,0.058663389577814085,0.03038389187071551,6.467750887675658
130,South Africa,0.0022793687901811804,0.004920514761544285,0.008972498609665138,0.0030450324641204786,0.4322588904171755
131,South Korea,0.009117475160724722,0.00012616704516780217,0.0016574111282736633,0.01620087350847768,0.5914017467575086
132,Spain,0.08836937463471653,0.06762553620994197,0.061001359807239176,0.033823283518255094,6.882191529445461
133,Sri Lanka,0.02413793103448276,0.0,0.0,0.02412530755312569,1.206707199503782
134,Suriname,0.0222676797194623,0.0,0.0,0.030239278921357533,1.2329579740015435
135,Sweden,0.08579777907656341,0.055892001009336355,0.05687217841421727,0.03594839344431714,6.351450880884508
136,Switzerland,0.09064874342489772,0.07355538733282867,0.10488367703917822,0.03423939697339275,7.8339906867089875
137,Taiwan,0.00023378141437755697,0.0,0.0,0.0022921239947155062,0.04256420942394709
138,Thailand,0.0008766803039158387,0.00012616704516780217,0.0,0.0017355303198160824,0.06113261201516867
139,Togo,0.0029807130333138515,0.0,0.0,0.010102324273005382,0.2558598202610655
140,Trinidad and Tobago,0.00040911747516072475,0.0,0.0,0.0017037109202990728,0.039874775435111455
141,Tunisia,0.001928696668614845,0.0,0.0,0.0063387132693367085,0.1625850824415702
142,Turkey,0.10151957919345413,0.09626545546303306,0.1396671099058539,0.03811122038314961,9.589151167312105
143,Turks and Caicos Islands,0.17030976037405027,0.0,0.0,0.1366346778633077,8.010361781041373
144,Uganda,0.0005844535359438924,0.0,0.0,0.002059429437478642,0.05134731532021586
145,Ukraine,0.002571595558153127,0.0,0.0,0.003885433661690324,0.1482873494607143
146,United Arab Emirates,0.47036820572764465,0.0,0.3874104341252854,0.18050476458384607,24.981615181104537
147,United Kingdom,0.28427819988310926,0.061191016906384045,0.033566640001275516,0.15141600399659316,14.866162247600295
148,United States,0.2449444769140853,0.18912440070653547,0.18744108534971615,0.0843136138924952,19.2687312053549
149,Uruguay,0.08579777907656341,0.00012616704516780217,0.0,0.1493612982380229,5.247757587830935
150,Venezuela,0.00023378141437755697,0.0,0.0,0.0008489348128575952,0.02091637169607842
151,Vietnam,0.0002922267679719462,0.0,0.0,0.0008131901891583278,0.022425789716393033
152,Wales,0.3274108708357686,0.16035831440827658,0.14298185650741033,0.1502783140327287,21.470824041643667
153,Zimbabwe,0.002571595558153127,0.0,0.0,0.0028946986181265324,0.13342632380725744
